Club,Last Name,First Name,Position,2015 Base Salary,2015 Guaranteed Compensation
HOU,Garrido,Luis,M,150000,150000
HOU,Hoffman,Chandler,F,60000,60000
HOU,Horst,David,D,78750,81500
HOU,Hunter,Taylor,D,50000,50000
HOU,Lisch,Michael,GK,60000,60000
HOU,Lopez,Alexander,M,115500,135500
HOU,Lovejoy,Rob,M,50000,50000
HOU,Manotas,Mauro,F,60000,60000
HOU,Miranda,Leonel,M,60000,60000
HOU,Olabiyi,Rasheed,M,60000,60000
HOU,Rodriguez,"Jose ""Memo""",M,60000,60000
HOU,Rodriguez,Raul,D,325000,354333
HOU,Sarkodie,Kofi,D,190000,235500
HOU,Steinberger,Zach,M,60000,76250
HOU,Sturgis,Nathan,D-M,71250,75375
HOU,Taylor,Jermaine,D,203500,213000
HOU,Torres,Erick,F,350000,425000
HOU,Willis,Joe,GK,90000,90000
KC,Abdul-Salaam,Saad,D,60000,73750
KC,Anibaba,Jalil,D,120000,150000
KC,Anor,Bernardo,M,135000,135000
KC,Besler,Matt,D,650000,683250
KC,Carrasco,Servando,M,80750,85375
KC,de Jong,Marcel,D,180000,191500
KC,Dia,Amadou,D,50000,50000
KC,Dwyer,Dom,F,400000,518750
KC,Ellis,Kevin,D,60000,63150
KC,Espinoza,Roger,M,750000,750000
KC,Feilhaber,Benny,M,350000,362187
KC,Hallisey,Connor,M,60000,73750
KC,Kempin,Jonathan,GK,85000,92083
KC,Lopez,Mikey,M,100000,172000
KC,Medranda,Jimmy,M,60000,60000
KC,Melia,Tim,GK,80000,84203
KC,Mustivar,Soni,M,250000,250000
KC,Myers,Chance,D-M,170000,195000
KC,Nagamura,Paulo,M,230000,230000
KC,Nemeth,Krisztian,F,250000,250000
KC,Opara,Ike,D,115000,121250
KC,Palmer-Brown,Erik,D,60000,60500
KC,Peterson,Jacob,F,123500,130375
KC,Sinovic,Seth,M-D,140000,146750
KC,Zusi,Graham,F-M,650000,682102
LA,Buddle,Edson,F,100000,106250
LA,DeLaGarza,AJ,D,200000,202500
LA,Dos Santos,Giovani,M,4000008,4100008
LA,Dunivant,Todd,D,185000,205750
LA,Garcia,Rafael,M,60000,60000
LA,Gargan,Dan,D,125000,125000
LA,Gerrard,Steven,M,6200004,6332504
LA,Gonzalez,Omar,D,1200000,1450000
LA,Gordon,Alan,F,175000,175000
LA,Husidic,Baggio,M,125000,125000
LA,Jamieson,Bradford,F,60000,60000
LA,Juninho,,M,350000,350000
LA,Keane,Robbie,F,4500000,4500000
LA,Lletget,Sebastian,M,95000,100500
LA,Maganto,Ignacio,M,60000,60000
LA,Mendiola,Raul,F,60000,60000
LA,Meyer,Tommy,D,60000,73750
LA,Penedo,Jaime,GK,175000,178125
LA,Perk,Brian,GK,60000,60000
LA,Ribeiro Da Silva,Leonardo,D,150000,155000
LA,Rogers,Robbie,F,175000,191666
LA,Rowe,Brian,GK,60000,60000
LA,Rugg,Charlie,F,60000,60000
LA,Sorto,Oscar,D,60000,61875
LA,Vayrynen,Mika,M,204996,227496
LA,Villarreal,Joseph,M,60000,61875
LA,Walker,Kenney,M,60000,60000
LA,Wolverton,Andrew,GK,50000,50000
LA,Zardes,Gyasi,F,150000,223000
MTL,Alexander,Eric,M,140000,153750
MTL,Bekker,Kyle,M,61765,88015
MTL,Bernier,Patrice,F-M,90000,135000
MTL,Bitolo,Ambroise,D,100000,100000
MTL,Bush,Evan,GK,100000,100000
MTL,Cabrera,Victor,D,60000,60000
MTL,Camara,Hassoun,D/M,235000,246625
MTL,Ciman,Laurent,D,370000,401666
MTL,Cooper,Kenny,F,220000,285625
MTL,Crepeau,Maxime,GK,60000,60000
MTL,Donadel,Marco,M,190003,226670
MTL,Duka,Dilaver,M,175000,200000
MTL,Gagnon-Lapare,Jeremy,M,60000,64000
MTL,Jackson-Hamel,Anthony,F,60000,60000
MTL,Kronberg,Eric,GK,132000,132000
MTL,Lefevre,Wandrille,M,60000,60000
MTL,Mallace,Calum,M,60000,75000
MTL,Mapp,Justin,M,186725,199225
MTL,McInerney,Jack,F,270000,334166
MTL,Miller,Eric,M/D,60375,71375
MTL,Oduro,Dominic,F,250000,251666
MTL,Piatti,Ignacio,M,400000,400000
MTL,Porter,Cameron,F,50000,50000
MTL,Reo-Coker,Nigel,D-M,275000,275000
MTL,Romero,Andres,F,100000,100000
MTL,Tissot,Maxim,D,60000,60000
MTL,Toia,Donny,D,60000,60000
MTL,Williams,Romario,F,65000,87000
NE,Agudelo,Juan,F,400000,427500
NE,Alston,Kevin,D,140000,158333
NE,Barnes,Darrius,D,95000,101666
NE,Bunbury,Teal,F,195000,240000
NE,Caldwell,Scott,M,60000,67500
NE,Ceballos,Marvin,M,50000,50000
NE,Davies,Charlie,F,78750,82759
NE,Dorman,Andy,M,145000,145000
NE,Fagundez,Diego,F,125000,152200
NE,Farrell,Andrew,D,117500,198500
NE,Goncalves,Jose,D,450000,479375
NE,Hall,Jeremy,D,70000,70000
NE,Herivaux,Zachary,M,60000,60000
NE,Jones,Jermaine,M,2800000,3052500
NE,Knighton,Brad,GK,82005,82005
NE,Kobayashi,Daigo,M,135000,146666
NE,Mulgrew,Timothy,F,50000,50000
NE,Neumann,Stephen,M-F,71500,92750
NE,Nguyen,Lee,M/F,175000,193750
NE,Okoli,Sean,F,50000,50000
NE,Rowe,Kelyn,M,140000,221000
NE,Rudy,Tyler,M,50000,50000
NE,Shuttleworth,Robert,GK,101250,111250
NE,Smith,Donnie,M,60000,60000
NE,Spangenberg,Trevor,GK,50000,50000
NE,Tierney,Chris,D-M,110000,113333
NE,Woodberry,London,D,60000,60000
NY,Abang,Anatole,F,50000,50000
NY,Castano,Santiago,GK,60000,60000
NY,Davis,Sean,M,80000,97500
NY,Duvall,Chris,D,60000,60000
NY,Grella,Mike,F,60000,60000
NY,Kljestan,Sacha,M,400000,537500
NY,Lade,Connor,D,60638,64891
NY,Lawrence,Kemar,D,60000,60000
NY,Martins,Felipe,M,175000,207500
NY,McCarty,Dax,M,220000,262500
NY,McLaws,Shawn,D,50000,50000
